product_name,brand,product_url,product_type,ingredients,price,ingredients_list,nb_ingredients,volume,volume_unit
The Ritual of Namasté Restoring Night Balm 50ml,The Ritual of Namasté,https://www.lookfantastic.com/the-ritual-of-namaste-restoring-night-balm/12063715.html,Balm,"Cocoglycerides, Sesamum Indicum (Sesame) Seed Oil, Caprylic/Capric Triglyceride, Cera Alba (Beeswax), Butyrospermum Parkii (Shea) Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-3 Beeswax, C10-18 Triglycerides, Lauryl Laurate, Glycerin, Jojoba Esters, Oryza Sativa (Rice) Bran Cera (Wax), Camellia Oleifera Seed Oil, Polyglycerin-3, Aqua/Water, Sodium Cocoyl Alaninate, Nelumbo Nucifera Leaf Cell Extract, Cistus Incanus Flower/Leaf/Stem Extract, Gynostemma Pentaphyllum Leaf/Stem Extract, Centella Asiatica Extract, Helianthus Annuus (Sunflower) Seed Oil, Acacia Decurrens Flower Cera (Wax), Helianthus Annuus (Sunflower) Seed Cera (Wax), Bisabolol, Decyl Glucoside, Glutamine, Tocopherol, Phenethyl Alcohol, Citric Acid, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Limonene, Linalool, Citral, Geraniol, Parfum/Fragrance.",39.9,"['cocoglycerides', 'sesamum indicum (sesame) seed oil', 'caprylic/capric triglyceride', 'cera alba (beeswax)', 'butyrospermum parkii (shea) butter', 'simmondsia chinensis (jojoba) seed oil', 'polyglyceryl-3 beeswax', 'c10-18 triglycerides', 'lauryl laurate', 'glycerin', 'jojoba esters', 'oryza sativa (rice) bran cera (wax)', 'camellia oleifera seed oil', 'polyglycerin-3', 'aqua/water', 'sodium cocoyl alaninate', 'nelumbo nucifera leaf cell extract', 'cistus incanus flower/leaf/stem extract', 'gynostemma pentaphyllum leaf/stem extract', 'centella asiatica extract', 'helianthus annuus (sunflower) seed oil', 'acacia decurrens flower cera (wax)', 'helianthus annuus (sunflower) seed cera (wax)', 'bisabolol', 'decyl glucoside', 'glutamine', 'tocopherol', 'phenethyl alcohol', 'citric acid', 'potassium sorbate', 'sodium benzoate', 'benzyl alcohol', 'limonene', 'linalool', 'citral', 'geraniol', 'parfum/fragrance']",37,50.0,ml
The Ritual of Namasté Urban Hydrating Mist 100ml,The Ritual of Namasté,https://www.lookfantastic.com/the-ritual-of-namaste-urban-hydrating-mist/12063702.html,Mist,"Aqua/Water, Rosa Damascena Flower Water, Glycerin, Nelumbo Nucifera Leaf Cell Extract, Tephrosia Purpurea Seed Extract, Polygonum Fagopyrum (Buckwheat) Seed Extract, Sodium Hyaluronate, Biosaccharide Gum-1, Polyglyceryl-4 Caprate, Propanediol, Saccharide Isomerate, Sodium Levulinate, Glyceryl Caprylate, Citric Acid, Sodium Citrate, Sodium Anisate, Sodium Hydroxide, Potassium Sorbate, Sodium Benzoate, Benzyl Alcohol, Linalool, Limonene, Geraniol, Citronellol, Benzyl Salicylate, Citral, Parfum/Fragrance.",19.9,"['aqua/water', 'rosa damascena flower water', 'glycerin', 'nelumbo nucifera leaf cell extract', 'tephrosia purpurea seed extract', 'polygonum fagopyrum (buckwheat) seed extract', 'sodium hyaluronate', 'biosaccharide gum-1', 'polyglyceryl-4 caprate', 'propanediol', 'saccharide isomerate', 'sodium levulinate', 'glyceryl caprylate', 'citric acid', 'sodium citrate', 'sodium anisate', 'sodium hydroxide', 'potassium sorbate', 'sodium benzoate', 'benzyl alcohol', 'linalool', 'limonene', 'geraniol', 'citronellol', 'benzyl salicylate', 'citral', 'parfum/fragrance']",27,100.0,ml
this works Deep Sleep Shower Gel (250ml),this works,https://www.lookfantastic.com/this-works-deep-sleep-shower-gel-250ml/10633447.html,Body Wash,"Coco-Glucoside, Aqua (Water/Eau), Cocamidopropyl Betaine, Glycerin, Sodium Chloride, Phenoxyethanol, Parfum (Fragrance), Glyceryl Oleate, Coconut Acid, Linalool, Citric Acid, Benzyl Alcohol, Disodium EDTA, Panthenol, Ethylhexylglycerin, Cinnamomum Camphora (Camphor) Leaf Oil, Lavandula Angustifolia (Lavender) Oil, Ormenis Multicaulis (Chamomile) Flower Extract, Pogostemon Cablin (Patchouli) Oil, Vetiveria Zizanoides (Vetivert) Root Oil, Dehydroacetic Acid, Hydrogenated Palm Glycerides Citrate, Tocopherol.",18.0,"['coco-glucoside', 'aqua (water/eau)', 'cocamidopropyl betaine', 'glycerin', 'sodium chloride', 'phenoxyethanol', 'parfum (fragrance)', 'glyceryl oleate', 'coconut acid', 'linalool', 'citric acid', 'benzyl alcohol', 'disodium edta', 'panthenol', 'ethylhexylglycerin', 'cinnamomum camphora (camphor) leaf oil', 'lavandula angustifolia (lavender) oil', 'ormenis multicaulis (chamomile) flower extract', 'pogostemon cablin (patchouli) oil', 'vetiveria zizanoides (vetivert) root oil', 'dehydroacetic acid', 'hydrogenated palm glycerides citrate', 'tocopherol']",23,250.0,ml
Too Faced Hangover Good in Bed Ultra-Hydrating Replenishing Serum 29ml,Too Faced,https://www.lookfantastic.com/too-faced-hangover-good-in-bed-ultra-hydrating-replenishing-serum/12147733.html,Serum,"Water\Aqua\Eau, Butylene Glycol, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Lactobacillus Ferment, Yogurt Powder, Sodium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Algae Extract, Hylocereus Undatus Fruit Extract, Cocos Nucifera (Coconut) Liquid Endosperm, Cocos Nucifera (Coconut) Fruit Juice, Acetyl Hexapeptide-8, Panthenol, Glycerin, Caffeine, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Caprylyl Glycol, PEG-40 Hydrogenated Castor Oil, Fragrance (Parfum), Phenoxyethanol, Potassium Sorbate, Sodium Metabisulfite, Mica, Titanium Dioxide (CI 77891).",32.0,"['water\\aqua\\eau', 'butylene glycol', 'peg/ppg/polybutylene glycol-8/5/3 glycerin', 'lactobacillus ferment', 'yogurt powder', 'sodium hyaluronate', 'hydrolyzed sodium hyaluronate', 'algae extract', 'hylocereus undatus fruit extract', 'cocos nucifera (coconut) liquid endosperm', 'cocos nucifera (coconut) fruit juice', 'acetyl hexapeptide-8', 'panthenol', 'glycerin', 'caffeine', 'dipeptide diaminobutyroyl benzylamide diacetate', 'ammonium acryloyldimethyltaurate/vp copolymer', 'caprylyl glycol', 'peg-40 hydrogenated castor oil', 'fragrance (parfum)', 'phenoxyethanol', 'potassium sorbate', 'sodium metabisulfite', 'mica', 'titanium dioxide (ci 77891)']",25,29.0,ml
Trilogy Certified Organic Rosehip Oil 20ml,Trilogy,https://www.lookfantastic.com/trilogy-certified-organic-rosehip-oil-20ml/10557481.html,Oil,Rosehip Oil.,19.5,['rosehip oil'],1,20.0,ml
Trilogy Certified Organic Rosehip Oil 45ml,Trilogy,https://www.lookfantastic.com/trilogy-certified-organic-rosehip-oil-45ml/10557482.html,Oil,Rosehip Oil.,34.5,['rosehip oil'],1,45.0,ml
Trilogy CoQ10 Booster Oil 20ml,Trilogy,https://www.lookfantastic.com/trilogy-coq10-booster-oil-20ml/10557485.html,Oil,"Macadamia ternifolia seed oil, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus annuus seed oil, Salvia Hispanica (Chia) Seed Oil, Nigella sativa, Calophyllum Tacamahaca (Tamanu) Seed Oil, Ubiquinone, Euterpe Oleracea fruit oil (and) Tocopherol, Vaccinium Angustifolia (Blueberry) Seed Oil, Fragaria Vesca (strawberry) Seed Oil, Punica Granatum (pomegranate) Seed Oil, Parfum, Citral, Geraniol, Citronellol, Limonene, Linalool.",31.5,"['macadamia ternifolia seed oil', 'simmondsia chinensis (jojoba) seed oil', 'helianthus annuus seed oil', 'salvia hispanica (chia) seed oil', 'nigella sativa', 'calophyllum tacamahaca (tamanu) seed oil', 'ubiquinone', 'euterpe oleracea fruit oil (and) tocopherol', 'vaccinium angustifolia (blueberry) seed oil', 'fragaria vesca (strawberry) seed oil', 'punica granatum (pomegranate) seed oil', 'parfum', 'citral', 'geraniol', 'citronellol', 'limonene', 'linalool']",17,20.0,ml
Trilogy Rosehip Oil Antioxidant+ 30ml,Trilogy,https://www.lookfantastic.com/trilogy-organic-rosehip-oil-antioxidant-30ml/10621073.html,Oil,"Certified Organic Rosehip Oil , Tomato Seed Oil , Cranberry Seed Oil , Acai Fruit Oil , Oat Kernel Extract, Rosa Canina (Rosehip) Seed Oil, Solanum Lycopersicum (Tomato) Seed Oil, Caprylic/Capric Triglyceride, Vaccinium Macrocarpon (Cranberry) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Euterpe Oleracea (Acai) Fruit Oil, Avena Sativa (Oat) Kernel Extract.",31.5,"['certified organic rosehip oil', 'tomato seed oil', 'cranberry seed oil', 'acai fruit oil', 'oat kernel extract', 'rosa canina (rosehip) seed oil', 'solanum lycopersicum (tomato) seed oil', 'caprylic/capric triglyceride', 'vaccinium macrocarpon (cranberry) seed oil', 'helianthus annuus (sunflower) seed oil', 'euterpe oleracea (acai) fruit oil', 'avena sativa (oat) kernel extract']",12,30.0,ml
Ultrasun SPF30+ Eye Cream (15ml),Ultrasun,https://www.lookfantastic.com/ultrasun-spf30-eye-cream-15ml/11261405.html,Eye Care,"Aqua, zinc oxide (nano), isopropyl palmitate, isostearyl isostearate, titanium dioxide (nano), pentylene glycol, potassium cetyl phosphate, butylene glycol, glycerin, squalane, silica, carrageenan, vitis vinifera seed extract, cetyl phosphate, hydrogenated phosphatidylcholine, panthenol, xanthan gum, alcohol, escin, ruscus aculeatus root extract, ammonium glycyrrhizate, centella asiatica extract, hydrolyzed yeast protein, calendula officinalis flower extract, sodium citrate, lecithin, caprylic/capric triglyceride, tocopheryl acetate, ascorbyl tetraisopalmitate, tocopherol, diisopropyl adipate, ubiquinone.",20.0,"['aqua', 'zinc oxide (nano)', 'isopropyl palmitate', 'isostearyl isostearate', 'titanium dioxide (nano)', 'pentylene glycol', 'potassium cetyl phosphate', 'butylene glycol', 'glycerin', 'squalane', 'silica', 'carrageenan', 'vitis vinifera seed extract', 'cetyl phosphate', 'hydrogenated phosphatidylcholine', 'panthenol', 'xanthan gum', 'alcohol', 'escin', 'ruscus aculeatus root extract', 'ammonium glycyrrhizate', 'centella asiatica extract', 'hydrolyzed yeast protein', 'calendula officinalis flower extract', 'sodium citrate', 'lecithin', 'caprylic/capric triglyceride', 'tocopheryl acetate', 'ascorbyl tetraisopalmitate', 'tocopherol', 'diisopropyl adipate', 'ubiquinone']",32,15.0,ml
Uriage Xémose Anti-Itch Soothing Oil Balm 500ml,Uriage,https://www.lookfantastic.com/uriage-xemose-anti-itch-soothing-oil-balm-500ml/12087912.html,Balm,"Aqua (Water), C13-15 Alkane, Hydrogenated Polydecene, Butyrospermum Parkii (Shea Butter), Cetearyl Ethylhexanoate, Isononyl Isononanoate, Beheneth-25, Butylene Glycol, Glycerin, 1,2-Hexanediol, Shorea Stenoptera Seed Butter, Brassica Campestris (Rapeseed) Sterols, Chlorphenesin, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Polyacrylate, O-Cymen-5-Ol, Tocopheryl Acetate, Raspberry Seed Oil/Palm Oil, Aminopropanediol Esters, Sodium Hydroxide, Asiaticoside, Phytosphingosine, Borage Seed Oil Aminopropanediol Amides, Citric Acid.",20.89,"['aqua (water)', 'c13-15 alkane', 'hydrogenated polydecene', 'butyrospermum parkii (shea butter)', 'cetearyl ethylhexanoate', 'isononyl isononanoate', 'beheneth-25', 'butylene glycol', 'glycerin', '1,2-hexanediol', 'shorea stenoptera seed butter', 'brassica campestris (rapeseed) sterols', 'chlorphenesin', 'xanthan gum', 'acrylates/c10-30 alkyl acrylate crosspolymer', 'sodium polyacrylate', 'o-cymen-5-ol', 'tocopheryl acetate', 'raspberry seed oil/palm oil', 'aminopropanediol esters', 'sodium hydroxide', 'asiaticoside', 'phytosphingosine', 'borage seed oil aminopropanediol amides', 'citric acid']",25,500.0,ml
